modality,n_clusters,accuracy
joint,2,0.9393560487652391
gene expression,2,0.9291966239449828
splicing,2,0.9465457955611128
joint,3,0.9370115661144108
gene expression,3,0.9249765551734918
splicing,3,0.9363863707408564
joint,4,0.902156924038762
gene expression,4,0.8907471084713973
splicing,4,0.8976242575804939
joint,5,0.8230697092841514
gene expression,5,0.8146295717411691
splicing,5,0.82213191622382
joint,7,0.7758674585808065
gene expression,7,0.7624257580493904
splicing,7,0.7768052516411379
joint,10,0.5670522038136918
gene expression,10,0.5470459518599562
splicing,10,0.5779931228508909
joint,20,0.4065332916536417
gene expression,20,0.4066895904970303
splicing,20,0.3943419818693341
joint,30,0.2363238512035011
gene expression,30,0.2274148171303532
splicing,30,0.2452328852766489
joint,40,0.2230384495154735
gene expression,40,0.2049077836824007
splicing,40,0.2403876211316036
joint,50,0.1097217880587683
gene expression,50,0.1073773054079399
splicing,50,0.1092528915286027
joint,100,0.0431384807752422
gene expression,100,0.0431384807752422
splicing,100,0.0431384807752422
joint,200,0.019381056580181306
gene expression,200,0.019381056580181306
splicing,200,0.019381056580181306
